,Condition,Response,Correct_Response,Result,note_difference
0,1,1,1,correct,176.0
1,0,2,2,correct,176.0
2,0,2,2,correct,124.45079348883236
3,0,2,2,correct,124.45079348883236
4,0,2,2,correct,87.99999999999999
5,1,1,1,correct,87.99999999999999
6,0,2,2,correct,62.225396744416166
7,0,2,2,correct,62.225396744416166
8,0,2,2,correct,43.999999999999986
9,1,1,1,correct,43.999999999999986
10,1,1,1,correct,31.11269837220808
11,1,1,1,correct,31.11269837220808
12,1,1,1,correct,21.99999999999999
13,0,2,2,correct,21.99999999999999
14,1,1,1,correct,15.556349186104036
15,0,2,2,correct,15.556349186104036
16,1,1,1,correct,10.999999999999993
17,0,2,2,correct,10.999999999999993
18,0,2,2,correct,7.778174593052017
19,1,1,1,correct,7.778174593052017
20,0,2,2,correct,5.499999999999996
21,1,1,1,correct,5.499999999999996
22,0,2,2,correct,3.889087296526008
23,0,1,2,wrong,3.889087296526008
24,1,1,1,correct,5.499999999999996
25,0,2,2,correct,5.499999999999996
26,1,1,1,correct,3.889087296526008
27,1,2,1,wrong,3.889087296526008
28,1,1,1,correct,5.499999999999996
29,0,2,2,correct,5.499999999999996
30,0,1,2,wrong,3.889087296526008
31,1,1,1,correct,5.499999999999996
32,1,1,1,correct,5.499999999999996
33,1,1,1,correct,3.889087296526008
34,1,1,1,correct,3.889087296526008
35,1,1,1,correct,2.7499999999999973
36,0,1,2,wrong,2.7499999999999973
37,0,0,0,0.0,0.0
38,0,0,0,0.0,0.0
39,0,0,0,0.0,0.0
40,0,0,0,0.0,0.0
41,0,0,0,0.0,0.0
42,1,0,0,0.0,0.0
43,1,0,0,0.0,0.0
44,1,0,0,0.0,0.0
45,1,0,0,0.0,0.0
46,1,0,0,0.0,0.0
47,1,0,0,0.0,0.0
48,1,0,0,0.0,0.0
49,0,0,0,0.0,0.0
